
Quadro extraído em 10 de Junho de 2026 (16:28:10)
http://www.ine.pt



Período de referência dos dados;Local de residência à data dos Censos [2021] (NUTS - 2013);População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;
;;HM;;;;H;;;;M;;;;
;;Grupo etário (Por ciclos de vida);;;;;;;;;;;;
;;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;
;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;1507: Montijo;55682;5810;30414;10445;27053;2992;14966;4389;28629;2818;15448;6056;
;1116: Odivelas;148034;15301;79485;30912;69724;7775;37579;13048;78310;7526;41906;17864;
;1110: Oeiras;171658;17864;88229;41248;79581;9167;40971;16866;92077;8697;47258;24382;
;1508: Palmela;68852;7731;36563;14564;33165;3999;17833;6272;35687;3732;18730;8292;
;1510: Seixal;166507;18067;88109;35837;78624;9192;41157;15780;87883;8875;46952;20057;
;1511: Sesimbra;52384;5760;28109;10686;25435;2985;13551;4904;26949;2775;14558;5782;
;1512: Setúbal;123496;13504;63983;28493;58558;6882;30360;12319;64938;6622;33623;16174;
;1111: Sintra;385606;46623;213195;68885;181792;23461;100356;29085;203814;23162;112839;39800;
;1114: Vila Franca de Xira;137529;15227;75958;25424;65678;7646;36049;11144;71851;7581;39909;14280;
;1501: Alcácer do Sal;11112;996;5425;3457;5372;543;2709;1500;5740;453;2716;1957;
;1505: Grândola;13822;1282;7040;3817;7003;697;3708;1740;6819;585;3332;2077;
;0211: Odemira;29538;2736;17158;6689;16367;1653;10124;3071;13171;1083;7034;3618;
;1509: Santiago do Cacém;27772;2295;13986;8077;13461;1194;6866;3655;14311;1101;7120;4422;
;1513: Sines;14198;1348;7650;3193;6822;677;3770;1396;7376;671;3880;1797;
;0201: Aljustrel;8874;774;4500;2541;4378;391;2353;1110;4496;383;2147;1431;
;0202: Almodôvar;6712;576;3215;2190;3308;299;1655;982;3404;277;1560;1208;
;0203: Alvito;2280;234;1068;685;1089;118;525;295;1191;116;543;390;
;0204: Barrancos;1438;146;721;395;703;76;371;165;735;70;350;230;
;0205: Beja;33394;3506;17305;7862;16296;1846;8728;3271;17098;1660;8577;4591;
;0206: Castro Verde;6873;665;3521;1854;3324;331;1773;799;3549;334;1748;1055;
;0207: Cuba;4373;420;2208;1168;2152;208;1141;498;2221;212;1067;670;
;0208: Ferreira do Alentejo;7684;682;3859;2238;3868;363;2074;957;3816;319;1785;1281;
;0209: Mértola;6206;438;2938;2284;3078;231;1563;996;3128;207;1375;1288;
;0210: Moura;13258;1472;6343;3478;6432;740;3224;1451;6826;732;3119;2027;
;0212: Ourique;4839;410;2278;1665;2368;215;1164;755;2471;195;1114;910;
;0213: Serpa;13757;1297;6982;3890;6840;698;3595;1709;6917;599;3387;2181;
;0214: Vidigueira;5175;511;2557;1444;2508;267;1289;606;2667;244;1268;838;
;1403: Almeirim;22012;2253;11154;5675;10452;1166;5378;2424;11560;1087;5776;3251;
;1404: Alpiarça;6975;697;3368;2055;3326;375;1618;855;3649;322;1750;1200;
;1103: Azambuja;21421;2234;11339;5047;10701;1112;5969;2196;10720;1122;5370;2851;
;1405: Benavente;29709;3416;15889;5861;14259;1754;7673;2524;15450;1662;8216;3337;
;1406: Cartaxo;23186;2369;12042;5858;11123;1248;5844;2557;12063;1121;6198;3301;
;1407: Chamusca;8530;737;4184;2688;4109;370;2101;1165;4421;367;2083;1523;
;1409: Coruche;17355;1539;8203;5756;8193;782;4007;2469;9162;757;4196;3287;
;1412: Golegã;5400;539;2670;1583;2533;281;1307;649;2867;258;1363;934;
;1414: Rio Maior;21004;2237;10938;5028;10239;1191;5447;2176;10765;1046;5491;2852;
;1415: Salvaterra de Magos;21607;2224;10887;5806;10357;1130;5367;2505;11250;1094;5520;3301;
;1416: Santarém;58662;6067;29675;15398;27713;3220;14295;6388;30949;2847;15380;9010;
;1201: Alter do Chão;3044;259;1361;1088;1390;120;659;451;1654;139;702;637;
;1202: Arronches;2789;237;1375;879;1379;133;719;372;1410;104;656;507;
;1203: Avis;3812;330;1804;1250;1791;148;901;532;2021;182;903;718;
;1204: Campo Maior;8042;897;4036;1927;3876;467;1982;830;4166;430;2054;1097;
;1205: Castelo de Vide;3116;246;1463;1112;1496;134;707;493;1620;112;756;619;
;1206: Crato;3225;234;1414;1289;1485;127;702;517;1740;107;712;772;
;1207: Elvas;20730;2168;10616;5054;9873;1094;5119;2170;10857;1074;5497;2884;
;1208: Fronteira;2858;245;1358;957;1356;130;671;394;1502;115;687;563;
;1209: Gavião;3394;234;1467;1428;1581;119;734;586;1813;115;733;842;
;1210: Marvão;3021;226;1433;1074;1442;117;710;485;1579;109;723;589;
;1211: Monforte;2992;324;1393;861;1408;149;678;370;1584;175;715;491;
;1212: Nisa;5952;471;2601;2425;2804;230;1334;1014;3148;241;1267;1411;
